Year,Age Group,Sex,"Death Rate Per 100,000"
1980,All ages,Female,1740.00
1980,All ages,Both,2071.10
1990,0-6 days,Male,141873.40
1990,0-6 days,Female,120260.80
1990,0-6 days,Both,131221.40
1990,7-27 days,Male,37762.80
1990,7-27 days,Female,33753.40
1990,7-27 days,Both,35784.70
1990,28-364 days,Male,7755.10
1990,28-364 days,Female,6449.40
1990,28-364 days,Both,7110.80
1990,1-4 years,Male,3892.30
1990,1-4 years,Female,2940.80
1990,1-4 years,Both,3419.70
1990,5-9 years,Male,296.20
1990,5-9 years,Female,237.80
1990,5-9 years,Both,266.90
1990,10-14 years,Male,219.80
1990,10-14 years,Female,179.60
1990,10-14 years,Both,199.60
1990,15-19 years,Male,370.00
1990,15-19 years,Female,270.00
1990,15-19 years,Both,319.70
1990,20-24 years,Male,598.00
1990,20-24 years,Female,418.80
1990,20-24 years,Both,507.50
1990,25-29 years,Male,703.30
1990,25-29 years,Female,527.00
1990,25-29 years,Both,613.70
1990,30-34 years,Male,846.40
1990,30-34 years,Female,617.50
1990,30-34 years,Both,729.50
1990,35-39 years,Male,1189.10
1990,35-39 years,Female,832.00
1990,35-39 years,Both,1005.90
1990,40-44 years,Male,1512.20
1990,40-44 years,Female,880.20
1990,40-44 years,Both,1189.00
1990,45-49 years,Male,2006.80
1990,45-49 years,Female,1042.20
1990,45-49 years,Both,1509.80
1990,50-54 years,Male,2730.60
1990,50-54 years,Female,1431.70
1990,50-54 years,Both,2054.30
1990,55-59 years,Male,3499.00
1990,55-59 years,Female,1894.10
1990,55-59 years,Both,2652.00
1990,60-64 years,Male,5239.40
1990,60-64 years,Female,3107.00
1990,60-64 years,Both,4095.10
1990,65-69 years,Male,6716.60
1990,65-69 years,Female,4540.50
1990,65-69 years,Both,5527.40
1990,70-74 years,Male,9108.20
1990,70-74 years,Female,6743.60
1990,70-74 years,Both,7786.60
1990,75-79 years,Male,11788.70
1990,75-79 years,Female,9348.20
1990,75-79 years,Both,10379.40
1990,80+ years,Male,16809.50
1990,80+ years,Female,14631.00
1990,80+ years,Both,15463.50
