Date,Open,High,Low,Close,Adj Close,Volume
11/9/2020,120.500000000,121.989997864,116.050003052,116.319999695,114.301315308,154515300
11/10/2020,115.550003052,117.589996338,114.129997253,115.970001221,113.957412720,138023400
11/11/2020,117.190002441,119.629997253,116.440002441,119.489997864,117.416313171,112295000
11/12/2020,119.620002747,120.529998779,118.569999695,119.209999084,117.141166687,103162300
11/13/2020,119.440002441,119.669998169,117.870002747,119.260002136,117.190307617,81581900
11/16/2020,118.919998169,120.989997864,118.150001526,120.300003052,118.212265015,91183000
11/17/2020,119.550003052,120.669998169,118.959999084,119.389999390,117.318054199,74271000
11/18/2020,118.610000610,119.819999695,118.000000000,118.029998779,115.981651306,76322100
11/19/2020,117.589996338,119.059997559,116.809997559,118.639999390,116.581069946,74113000
11/20/2020,118.639999390,118.769996643,117.290000916,117.339996338,115.303627014,73604300
11/23/2020,117.180000305,117.620002747,113.750000000,113.849998474,111.874198914,127959300
11/24/2020,113.910003662,115.849998474,112.589996338,115.169998169,113.171279907,113874200
11/25/2020,115.550003052,116.750000000,115.169998169,116.029998779,114.016357422,76499200
11/27/2020,116.569999695,117.489997864,116.220001221,116.589996338,114.566642761,46691300
11/30/2020,116.970001221,120.970001221,116.809997559,119.050003052,116.983955383,169410200
12/1/2020,121.010002136,123.470001221,120.010002136,122.720001221,120.590278625,127728200
12/2/2020,122.019996643,123.370002747,120.889999390,123.080001831,120.944007874,89004200
12/3/2020,123.519996643,123.779998779,122.209999084,122.940002441,120.806449890,78967600
12/4/2020,122.599998474,122.860000610,121.519996643,122.250000000,120.128410339,78260400
12/7/2020,122.309997559,124.569999695,122.250000000,123.750000000,121.602386475,86712000
12/8/2020,124.370002747,124.980003357,123.089996338,124.379997253,122.221443176,82225500
12/9/2020,124.529998779,125.949996948,121.000000000,121.779998779,119.666557312,115089200
12/10/2020,120.500000000,123.870002747,120.150001526,123.239997864,121.101226807,81312200
12/11/2020,122.430000305,122.760002136,120.550003052,122.410003662,120.285644531,86939800
12/14/2020,122.599998474,123.349998474,121.540000916,121.779998779,119.666557312,79184500
12/15/2020,124.339996338,127.900001526,124.129997253,127.879997253,125.660713196,157243700
12/16/2020,127.410003662,128.369995117,126.559997559,127.809997559,125.591926575,98208600
12/17/2020,128.899993896,129.580001831,128.039993286,128.699996948,126.466484070,94359800
12/18/2020,128.960006714,129.100006104,126.120002747,126.660003662,124.461891174,192541500
12/21/2020,125.019996643,128.309997559,123.449996948,128.229995728,126.004631042,121251600
12/22/2020,131.610000610,134.410003662,129.649993896,131.880004883,129.591293335,168904800
12/23/2020,132.160003662,132.429992676,130.779998779,130.960006714,128.687240601,88223700
12/24/2020,131.320007324,133.460006714,131.100006104,131.970001221,129.679748535,54930100
12/28/2020,133.990005493,137.339996338,133.509994507,136.690002441,134.317794800,124486200
12/29/2020,138.050003052,138.789993286,134.339996338,134.869995117,132.529373169,121047300
12/30/2020,135.580001831,135.990005493,133.399993896,133.720001221,131.399368286,96452100
12/31/2020,134.080001831,134.740005493,131.720001221,132.690002441,130.387207031,99116600
1/4/2021,133.520004272,133.610000610,126.760002136,129.410003662,127.164154053,143301900
